Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 12 - Ahuntsic/Cartierville,2019,497,a,502,a,N,773,c,653,a,Y,**,,799,b,**,**,,"1,106",c,**,767,c,752,a,Y
Zone 13 - Saint-Laurent,2019,667,a,640,a,Y,710,a,753,a,N,861,a,897,a,N,"1,050",c,959,a,Y,851,b,840,a,Y
Zone 14 - Dorval/Lachine/Saint-Pierre,2019,547,c,585,a,N,626,b,691,a,N,715,b,788,a,N,873,c,970,b,N,689,b,775,a,N
Zone 15 - Baie-d'Urfé/Beaconsfield etc.,2019,**,,693,a,**,"1,272",c,"1,008",b,Y,"1,642",d,"1,200",b,Y,**,,"1,291",d,**,"1,309",d,"1,120",b,Y
Zone 16 - Sainte-Geneviève/Senneville etc.,2019,621,b,585,a,Y,874,a,741,a,Y,920,b,850,a,Y,**,,"1,025",b,**,878,b,825,a,Y
Zone 17 - Mercier,2019,**,,596,b,**,754,b,646,a,Y,899,d,750,a,Y,**,,"1,005",c,**,871,d,768,b,Y
Zone 18 - Pte-aux-Trembles/Montréal-E etc.,2019,**,,564,a,**,725,c,634,a,Y,797,d,728,a,Y,796,b,854,a,N,793,c,727,a,Y
Zone 19 - Chomedey/Sainte-Dorothée,2019,**,,646,a,**,946,d,833,b,Y,"1,664",c,942,c,Y,**,,"1,162",b,**,**,,940,b,**
Zone 20 - Laval-des-Rapides,2019,**,,592,b,**,637,a,646,a,N,746,b,736,a,N,**,,860,b,**,665,b,723,a,N
Zone 21 - Pont-Viau,2019,**,,783,a,**,**,,837,a,**,"1,068",c,758,b,Y,**,,801,a,**,"1,014",b,787,a,Y
